COUNTRY,INDICATORs,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Switzerland,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",78716.777,80358.995,80713.476,78304.024,82058.002,83953.641,83842.933,83592.035,83754.645,84224.664
Switzerland,"All Items, Consumer price index (CPI), Period average",99.861,100.795,101.161,100.428,101.014,103.877,106.095,107.219,107.371,107.967
Canada,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",55896.173,56630.233,56872.137,53377.735,56223.015,57606.857,56874.101,56108.03,56174.384,57047.204
"Liechtenstein, Principality of","All Items, Consumer price index (CPI), Period average",99.861,100.795,101.161,100.428,101.014,103.877,106.095,107.219,107.379,107.977
Greece,"All Items, Consumer price index (CPI), Period average",119.922,120.851,121.476,119.943,120.632,131.85,137.328,141.444,145.835,149.426
Japan,"All Items, Consumer price index (CPI), End-of-period (EoP)",98.983,99.841,100.351,99.43,99.931,103.788,106.807,109.925,113.036,115.287
Japan,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",44819.893,45197.656,45113.805,43360.903,44656.82,45240.424,46017.207,46285.303,47010.766,47552.913
"Andorra, Principality of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",62367.929,62208.524,62344.412,55036.844,58458.65,62438.303,61407.364,62023.811,62056.871,61604.87
Finland,"All Items, Consumer price index (CPI), Period average",101.232,102.415,103.579,103.976,106.124,113.735,118.672,119.828,122.032,124.394
West Bank and Gaza,"All Items, Consumer price index (CPI), End-of-period (EoP)",99.76,100.08,101.35,101.42,102.74,106.94,123.23,231.65,,
Finland,"All Items, Consumer price index (CPI), End-of-period (EoP)",101.59,102.93,104.1,104.3,107.6,117.06,118.61,120.46,122.828,125.306
Finland,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",56236.509,56805.901,57522.664,56014.907,57425.707,57713.208,57009.607,56834.001,57042.489,57749.397
Iceland,"All Items, Consumer price index (CPI), End-of-period (EoP)",158.4,164.3,167.6,173.6,182.5,200,215.5,225.7,235.386,241.25
Ireland,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",86920.535,92226.767,95356.623,101013.489,115859.977,121744.316,116684.807,117704.845,126823.438,127100.248
Iceland,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",67925.359,69080.945,68410.753,63039.211,65517.388,70003.281,71612.264,69344.777,69009.658,69080.922
Ireland,"All Items, Consumer price index (CPI), Period average",100.058,100.758,101.65,101.183,103.625,111.992,117.817,119.375,121.369,123.381
Iceland,"All Items, Consumer price index (CPI), Period average",156.892,161.092,165.933,170.658,178.267,193.075,209.95,222.25,231.631,238.725
Greece,"All Items, Consumer price index (CPI), End-of-period (EoP)",117.776,118.52,119.765,116.903,121.999,131.235,136.075,140.088,144.036,147.318
Ireland,"All Items, Consumer price index (CPI), End-of-period (EoP)",100.3,101,102.1,101.1,106.8,115.5,119.2,120.4,122.363,124.392
Greece,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",31999.407,32742.272,33539.598,30472.365,33233.409,35877.501,36875.672,37761.486,38580.407,39427.785
Spain,"All Items, Consumer price index (CPI), Period average",101.693,103.458,104.264,103.913,107.038,115.947,119.889,123.327,126.236,128.791
Spain,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",45182.943,45995.198,46501.693,41342.074,44025.218,46246.769,46855.839,48030.591,48788.28,49156.521
Portugal,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",37996.863,39137.148,40134.761,36733.992,38690.771,41151.821,41790.86,42179.307,42669.375,43684.543
Malta,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",53840.067,55831.01,55974.548,51742.19,58537.151,59523.859,63188.8,66183.719,67504.107,68868.706
Portugal,"All Items, Consumer price index (CPI), End-of-period (EoP)",102.37,103.02,103.4,103.1,105.97,116.36,118.56,122.24,124.866,127.651
Malta,"All Items, Consumer price index (CPI), Period average",102.175,103.954,105.538,106.368,107.119,113.686,120.011,122.941,125.883,128.412
Malta,"All Items, Consumer price index (CPI), End-of-period (EoP)",100.88,102.13,103.44,103.61,106.33,114.08,118.3,120.48,123.175,125.748
Portugal,"All Items, Consumer price index (CPI), Period average",102.202,103.395,103.705,103.579,104.554,113.026,118.976,122.153,124.794,127.446
Australia,"All Items, Consumer price index (CPI), Period average",111.2,113.35,115.125,116.15,119.425,127.375,134.5,138.8,142.376,146.682
"Türkiye, Republic of","All Items, Consumer price index (CPI), Period average",312.144,363.125,418.236,469.591,561.614,967.711,1488.914,2360.025,3183.43,3971.15
Australia,"All Items, Consumer price index (CPI), End-of-period (EoP)",112.1,114,116.1,117.2,121.4,131,136.3,139.6,144.089,148.166
"Türkiye, Republic of","Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",28463.82,29055.207,29015.664,29253.312,32412.254,33840.875,35404.04,36499.594,37551.959,38749.16
Australia,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",57981.687,58682.653,58941.199,57541.254,60322.086,61510.351,61304.906,60924.099,61260.626,61804.557
"Türkiye, Republic of","All Items, Consumer price index (CPI), End-of-period (EoP)",327.41,393.88,440.5,504.81,686.95,1128.45,1859.38,2684.55,3516.97,4256.113
Spain,"All Items, Consumer price index (CPI), End-of-period (EoP)",102.74,104,104.88,104.28,111.13,117.22,121.06,124.49,127.092,129.476
Argentina,"All Items, Consumer price index (CPI), Period average",211.473,283.959,436.015,619.207,918.961,1584.572,3699.8,11835.086,16718.563,19456.661
Brazil,"All Items, Consumer price index (CPI), End-of-period (EoP)",3.23958E+13,3.36092E+13,3.50565E+13,3.66401E+13,4.03265E+13,4.26593E+13,4.46306E+13,4.67868E+13,4.90851E+13,5.0895E+13
Brazil,"All Items, Consumer price index (CPI), Period average",3.19468E+13,3.31176E+13,3.43539E+13,3.54572E+13,3.84007E+13,4.19642E+13,4.38919E+13,4.58088E+13,4.81847E+13,5.00984E+13
New Zealand,"All Items, Consumer price index (CPI), End-of-period (EoP)",141.73,144.407,147.083,149.197,158.072,169.484,177.374,181.318,186.394,189.961
South Africa,"All Items, Consumer price index (CPI), End-of-period (EoP)",72.6,75.9,78.9,81.3,86.1,92.3,97.1,100,103.97,107.706
New Zealand,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",45296.022,46048.881,46718.019,45273.343,47698.37,49005.812,48854.484,47745.842,47839.127,48426.376
South Africa,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",14641.977,14648.528,14463.566,13374.093,13876.12,13996.912,13922.76,13811.533,13764.663,13718.224
New Zealand,"All Items, Consumer price index (CPI), Period average",143.707,146.004,148.368,150.912,156.86,168.11,177.748,182.944,187.952,191.897
South Africa,"All Items, Consumer price index (CPI), Period average",71.442,74.725,77.8,80.358,84.017,89.783,95.083,99.292,102.627,106.387
Emerging Market and Developing Economies,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",12712.606,13137.072,13461.381,13033.418,13804.676,14245.669,14759.922,15233.127,15797.27,16265.861
Chile,"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",28102.359,28705.904,28350.058,26128.274,28759.429,29156.362,29114.081,29697.25,30262.415,30691.741
Latin America and the Caribbean (LAC),"Gross domestic product (GDP), Constant prices, Per capita, purchasing power parity (PPP) international dollar, ICP benchmark 2021",18470.003,18507.947,18333.737,16871.582,17985.719,18630.621,18927.547,19225.228,19546.629,19854.555
